id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
116272631,2022-05-10 01:25:00,2022-05-10,2022-05-09 13:25:00 UTC,Wellington,4733620,oscar_dove,Oscar Dove,2022-05-09 13:25:53 UTC,2024-08-06 01:21:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/116272631,,https://static.inaturalist.org/sounds/431687.mp3?1652103579,"",,2,0,false,2,"Tāwharanui Peninsula, New Zealand",-36.3730032277,174.7778399661,4,,,,4,,open,false,gps,gps,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
116664717,2022/02/21 11:56 PM,2022-02-21,2022-02-21 10:56:00 UTC,Wellington,1305207,dave_holland,Dave Holland,2022-05-12 08:07:27 UTC,2024-07-29 18:49:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/116664717,,https://static.inaturalist.org/sounds/435073.mpga?1652342294,"",,2,0,false,,"Southland District, Southland, New Zealand",-45.5802410334,167.1632507254,15,,,,15,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
116943547,2022-05-14 21:05:50+12:00,2022-05-14,2022-05-14 09:05:50 UTC,Wellington,4003793,islandnaturespotter,Hyongchan (David),2022-05-14 09:06:25 UTC,2024-07-30 00:40:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/116943547,,https://static.inaturalist.org/sounds/437507.m4a?1652519187,"","",2,0,false,3,"Far North, NZ-NO, NZ",-35.0077850889,173.3671663424,10042,,,,28734,obscured,open,true,,,Ninox novaeseelandiae novaeseelandiae,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
119856809,2022-06-02 23:44:39,2022-06-02,2022-06-02 11:44:39 UTC,Wellington,3963281,dr_dj_king,D. J. King,2022-06-02 11:47:22 UTC,2024-08-06 01:01:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/119856809,,https://static.inaturalist.org/sounds/458967.mp3?1654170445,"","In a tree near the city centre (location obscured). Call.
I've never previously heard them in an urban environment like this!",2,0,false,2,"Brooklyn Road at Webb Street, Mount Cook, Wellington 6011, New Zealand",-41.297332219,174.7704866901,20,,,,20,,open,false,gps,gps,Ruru (Morepork),Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
120144670,2022-06-05 00:36:09+12:00,2022-06-05,2022-06-04 12:36:09 UTC,Wellington,5585777,dubode,,2022-06-04 12:36:35 UTC,2024-07-28 14:05:27 UTC,research,,https://www.inaturalist.org/observations/120144670,,https://static.inaturalist.org/sounds/460834.m4a?1654346198,"","",2,0,false,3,"Richardson Road, Mount Roskill, Auckland, NZ",-36.9193908209,174.7357252066,29,,,,29,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
120480503,2022-06-06 20:20:38+12:00,2022-06-06,2022-06-06 08:20:38 UTC,Wellington,2950463,jo_bone,jo_bone,2022-06-06 08:21:44 UTC,2024-07-29 18:11:58 UTC,research,,https://www.inaturalist.org/observations/120480503,,https://static.inaturalist.org/sounds/463061.m4a?1654503707,"","",2,0,false,3,"Norwood Street, Normanby, Otago, NZ",-45.8405823397,170.5475923941,17,,,,17,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
124083909,2022-06-30 21:40:02+12:00,2022-06-30,2022-06-30 09:40:02 UTC,Wellington,762458,benknight,Ben Knight,2022-06-30 09:40:21 UTC,2024-08-03 05:16:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124083909,,https://static.inaturalist.org/sounds/486588.m4a?1656582023,"","",2,0,false,3,"Riwai Street, Paraparaumu, Wellington, NZ",-40.9214218436,175.0048994866,21,,,,21,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
124489740,2022/06/20 2:08 PM,2022-06-20,2022-06-20 02:08:00 UTC,Wellington,5877853,fiona_lavin,Fiona Lavin,2022-07-03 02:10:09 UTC,2024-10-25 18:19:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124489740,,https://static.inaturalist.org/sounds/489029.mp3?1656814136,"",,2,0,false,,"Matua, Tauranga 3110, New Zealand",-37.665333241,176.1240558309,31,,,,31,,open,false,,,Ruru (Morepork),Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
128944687,2022-08-01 19:10:00,2022-08-01,2022-08-01 07:10:00 UTC,Wellington,4395859,james_roberts,James Roberts,2022-08-01 07:47:02 UTC,2024-08-08 19:46:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/128944687,,https://static.inaturalist.org/sounds/511867.m4a?1659340025,"",Only heard at night. Has another call that goes low to high in pitch but didn't get a recording of it as was not expecting to hear it when I did,2,0,false,2,"Tuakau 2121, New Zealand",-37.2568817775,174.9424484745,1497,,,,1497,,open,false,gps,gps,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
130092949,2022-08-09 23:09:49+12:00,2022-08-09,2022-08-09 11:09:49 UTC,Wellington,5004973,greghadley1,,2022-08-09 11:10:18 UTC,2024-07-31 20:00:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/130092949,,https://static.inaturalist.org/sounds/517250.m4a?1660043421,"","",2,0,false,3,"North Island, Mangakino, Waikato, NZ",-38.4745832719,175.7771281993,6,,,,6,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
130468255,2022-08-12 18:55:03+12:00,2022-08-12,2022-08-12 06:55:03 UTC,Wellington,762458,benknight,Ben Knight,2022-08-12 06:55:39 UTC,2024-08-01 09:30:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/130468255,,https://static.inaturalist.org/sounds/518878.m4a?1660287342,"","",2,0,false,3,"Te Ika-a-Māui/North Island, Paraparaumu, Wellington, NZ",-40.9215408471,175.0050142688,5,,,,5,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
130908736,2022-08-15 20:14:35,2022-08-15,2022-08-15 08:14:35 UTC,Wellington,2137793,divaricoux,Paul_NJ,2022-08-15 08:19:48 UTC,2024-07-30 13:10:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/130908736,,https://static.inaturalist.org/sounds/520861.m4a?1660551590,"",In an urban totara tree,2,0,false,2,"Hillcrest, Hamilton, New Zealand",-37.7931715,175.3115214,2000,,,,2000,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
131046918,2022-08-16 21:19:41+12:00,2022-08-16,2022-08-16 09:19:41 UTC,Wellington,762458,benknight,Ben Knight,2022-08-16 09:20:48 UTC,2024-07-26 22:32:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131046918,,https://static.inaturalist.org/sounds/521407.m4a?1660641650,"","",1,0,false,3,"Te Ika-a-Māui/North Island, Paraparaumu, Wellington, NZ",-40.9215157612,175.0049191365,4,,,,4,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
131430038,2022-08-19 20:21:11+12:00,2022-08-19,2022-08-19 08:21:11 UTC,Wellington,762458,benknight,Ben Knight,2022-08-19 08:21:59 UTC,2024-10-28 15:28:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131430038,,https://static.inaturalist.org/sounds/522910.m4a?1660897321,"","",2,0,false,3,"Te Ika-a-Māui/North Island, Paraparaumu, Wellington, NZ",-40.9215030028,175.005089706,9,,,,9,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
139208817,2022-10-18 22:06:38+13:00,2022-10-18,2022-10-18 09:06:38 UTC,Wellington,1074893,martinhojhansen,Martin Høj Hansen,2022-10-18 09:07:06 UTC,2024-08-03 19:27:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/139208817,,https://static.inaturalist.org/sounds/551315.m4a?1666084031,"","",2,0,false,3,"Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.2675338913,174.758511754,5,,,,5,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
